FIRST,LAST,ID,BATS,TEAM,YEAR,AGE,AgeDiff,Tm,Lg,Lev,Aff,G,PA,AB,R,H,_2B,_3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,BB_Percent,K_percent,BB_K,HR_Percent,IOS
Taylor,Featherston,feathe000tay,Right,,2018,28,1.5,Kansas City,AA,Ind,,25,112,99,17,20,4,2,5,15,2,1,10,31,.202,.288,.434,.723,43,,2,1,0,0,8.929,27.679,32.258,4.464,0.232
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2016,17,,,,FRk,CIN,41,164,129,21,31,0,0,0,10,5,4,25,12,.240,.383,.240,.623,31,2,6,2,2,0,15.244,7.317,208.333,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2016,17,-1.2,Reds,DOSL,FRk,CIN,5,22,15,4,3,0,0,0,0,3,0,4,2,.200,.429,.200,.629,3,0,2,1,0,0,18.182,9.091,200.000,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2016,17,-1.2,Rojos,DOSL,FRk,CIN,36,142,114,17,28,0,0,0,10,2,4,21,10,.246,.376,.246,.622,28,2,4,1,2,0,14.789,7.042,210.000,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2016,17,-1.2,Reds,DOSL,FRk,CIN,1,4,2,1,0,0,0,0,0,1,0,1,0,.000,.500,.000,.500,0,0,1,0,0,0,25.000,0.000,1.000,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2016,17,-1.2,Rojos,DOSL,FRk,CIN,24,93,79,10,17,0,0,0,4,1,3,11,9,.215,.326,.215,.541,17,1,2,1,0,0,11.828,9.677,122.222,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2017,18,,,,FRk,CIN,44,129,108,17,29,5,1,1,17,4,4,17,12,.269,.388,.361,.749,39,2,4,0,0,1,13.178,9.302,141.667,0.775,0.092
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2017,18,-0.1,Rojos,DOSL,FRk,CIN,40,115,97,16,26,5,1,1,13,4,3,16,12,.268,.383,.371,.754,36,2,2,0,0,1,13.913,10.435,133.333,0.870,0.103
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2017,18,-0.1,Reds,DOSL,FRk,CIN,4,14,11,1,3,0,0,0,4,0,1,1,0,.273,.429,.273,.701,3,0,2,0,0,0,7.143,0.000,1.000,0.000,0.000
Jorge,Sequera,sequer000jor,Right,Cincinnati Reds,2017,18,-0.1,Rojos,DOSL,FRk,CIN,14,36,28,3,6,2,0,0,3,1,1,8,3,.214,.389,.286,.675,8,0,0,0,0,1,22.222,8.333,266.667,0.000,0.072
